ID	pval	padj	log2FC	baseMean	logPval
C00330	0.520596930479021	0.736302431553994	0.0653800000000011	11.9754666666667	-0.941761289476012
C05381	0.520596930479021	0.736302431553994	0.449900000000003	9.66824615384615	-0.941761289476012
C06469	0.520596930479021	0.736302431553994	0.0653800000000011	11.9754666666667	-0.941761289476012
C01585	0.526144212195534	0.742668768705426	-0.114059999999998	13.472341025641	-0.926469809241127
C04462	0.528721450244431	0.743062452406882	0.0744199999999999	12.6827205128205	-0.91942023680192
C00219	0.530069759021239	0.743062452406882	0.112100000000003	13.3982487179487	-0.915745859039156
D04947	0.530069759021239	0.743062452406882	0.112100000000003	13.3982487179487	-0.915745859039156
C00147	0.533749085531704	0.743062452406882	0.0467400000000033	15.5893307692308	-0.905766401910686
C01207	0.533749085531704	0.743062452406882	0.0651799999999962	13.1565128205128	-0.905766401910686
C05584	0.533749085531704	0.743062452406882	0.0651799999999962	13.1565128205128	-0.905766401910686
C10833	0.533749085531704	0.743062452406882	0.0651799999999962	13.1565128205128	-0.905766401910686
C00055	0.536181236640432	0.743532574247474	-0.0606400000000065	16.8067384615385	-0.899207360981733
C03104	0.536181236640432	0.743532574247474	-0.0606400000000065	16.8067384615385	-0.899207360981733
C07194	0.539838593039277	0.746172524676632	-0.0602600000000013	13.416158974359	-0.889399976185373
C05141	0.542288764412876	0.746172524676632	0.072140000000001	13.8626256410256	-0.882866815173638
C05301	0.542288764412876	0.746172524676632	0.072140000000001	13.8626256410256	-0.882866815173638
C14209	0.542288764412876	0.746172524676632	0.072140000000001	13.8626256410256	-0.882866815173638
C02470	0.547245491328586	0.751536361399025	-0.100059999999997	11.5184102564103	-0.869739931574673
C00390	0.557348126949903	0.75953391580505	0.100899999999994	14.8275153846154	-0.843349359533201
C00542	0.557348126949903	0.75953391580505	0.0543400000000016	13.5562641025641	-0.843349359533201
C02291	0.557348126949903	0.75953391580505	0.0543400000000016	13.5562641025641	-0.843349359533201
C10043	0.557348126949903	0.75953391580505	0.0543400000000016	13.5562641025641	-0.843349359533201
C01850	0.559484549211697	0.760984731686408	-0.41344	11.5885871794872	-0.837829804764249
