ID	symbol	pval	padj	log2FC	baseMean	logPval
18164	Nptx1	2.88928939480752e-42	3.59976565699069e-38	-12.3940674665769	490.149631948013	-137.990265272006
224796	Clic5	3.84697063251886e-30	2.39647035552762e-26	12.643565493808	1387.88874404974	-97.7141200303685
20304	Ccl5	2.16045102452503e-29	8.97235310485245e-26	8.57938760539246	3164.10127895417	-95.2245822250297
433470	AA467197	1.33909342818013e-26	4.17094125542406e-23	8.06921087593188	3669.92158504041	-85.9488738464615
19225	Ptgs2	1.79835260400802e-26	4.48113501866718e-23	7.98285910787043	1856.67367762745	-85.5234545484549
15945	Cxcl10	2.16842259688177e-26	4.502729522425e-23	8.02464544179995	3064.9639275775	-85.2534845207982
107350	AW112010	7.34231740894001e-26	1.30682760854262e-22	7.8032929871215	2416.96101417276	-83.4938949834695
18126	Nos2	3.04588902596827e-25	4.74359142181733e-22	11.6432920704454	733.09408579029	-81.441338992605
12703	Socs1	1.26426186246663e-23	1.75015983827464e-20	7.61495954750196	1263.66129079938	-76.0660508671899
14962	Cfb	1.28346809972608e-22	1.59907290544872e-19	7.29380807473287	682.161154799086	-72.7223706489822
21973	Top2a	1.87962241960756e-22	2.12892870235369e-19	-5.59023753314084	408.335620530827	-72.171975206507
68026	2810417H13Rik	3.1110584892259e-22	3.23005647643879e-19	-5.73454570430692	209.271262648457	-71.4450125691129
64380	Ms4a4c	1.22570095278672e-20	1.17469293621306e-17	6.75811281865232	592.236681342638	-66.1449548653401
12428	Ccna2	1.36734879659516e-20	1.21684276119851e-17	-9.77453847283379	79.8718997038269	-65.9871805912106
60533	Cd274	1.69299165264809e-19	1.4061988666895e-16	5.98355972626918	5390.15345889974	-62.3570589428649
99899	Ifi44	1.2124108401683e-18	9.44089166103553e-16	5.46252499499073	3271.2552067566	-59.5168270515401
11988	Slc7a2	3.14415304377248e-18	2.30429428072714e-15	5.64714214280409	2217.81122593458	-58.1420342645116
20210	Saa3	3.84259017743616e-18	2.65971283448206e-15	5.51538708318259	3920.53674773037	-57.8526265906685
20293	Ccl12	7.96966443554567e-18	5.22600258960334e-15	8.68725371865805	94.6051562671901	-56.8001867274664
56066	Cxcl11	1.41633428424134e-17	8.82305442368143e-15	10.6160799239727	340.533521966413	-55.9706158015485
17858	Mx2	3.71382995430559e-17	2.20336225717587e-14	6.5324800505665	508.160054730081	-54.5798698531959
108116	Slco3a1	8.29734686722669e-17	4.53963535386917e-14	6.09483174287888	1121.99981505989	-53.4201275143834
16010	Igfbp4	8.92655257078365e-17	4.53963535386917e-14	-4.95942358958901	476.032142262665	-53.3146744981316
229900	Gbp7	9.07566803328397e-17	4.53963535386917e-14	5.41635309392554	2636.6275675834	-53.2907737735211
226695	Ifi205	9.10914871552526e-17	4.53963535386917e-14	5.20485912391993	7703.27167047451	-53.2854613780782
270120	Fat3	1.34941594793005e-16	6.46629742125404e-14	-6.60481581803646	76.0773377258499	-52.7185144008083
17857	Mx1	1.82020397298976e-16	8.3992301109183e-14	6.94143753836045	3722.59740160546	-52.2867493895694
15958	Ifit2	2.31243111665443e-16	1.02894926008563e-13	7.0846105016457	12428.8743476979	-51.9414391273326
73804	Kif2c	3.02228628840232e-16	1.29843671955878e-13	-9.02823570007955	47.6691321425737	-51.5552091908203
27355	Pald1	3.19487265155298e-16	1.32683061218995e-13	-8.96859851853107	48.7215633827115	-51.4750910920755
240327	Gm4951	3.44767705111665e-16	1.38563252838266e-13	5.39554843819531	1751.62607754796	-51.3652248767677
68612	Ube2c	4.54188780114416e-16	1.76835562857672e-13	-Inf	49.8276246238556	-50.9675574507995
20558	Slfn4	4.95570470085043e-16	1.87100378387562e-13	7.79521325886439	738.425653418721	-50.8417592950678
16160	Il12b	7.06876466533526e-16	2.59028644015918e-13	7.94184889624838	817.647268899752	-50.3293914059799
231655	Oasl1	7.71911846510263e-16	2.72796137554721e-13	6.2272826486014	658.786739265765	-50.2024134192332
16176	Il1b	7.98956492449105e-16	2.72796137554721e-13	8.60223263658162	215.843136371758	-50.1527325755413
20555	Slfn1	8.10133806045805e-16	2.72796137554721e-13	6.19823986050107	452.032905656294	-50.1326893072672
16365	Irg1	8.82832706607205e-16	2.89452965568925e-13	10.2637068753336	16589.4912964686	-50.0087094395704
12771	Ccr3	1.0692832813528e-15	3.41594882112168e-13	-8.7813183376065	42.8079012028901	-49.7322773116347
16551	Kif11	1.19487910733565e-15	3.72174969957372e-13	-5.48046607618611	196.627206051051	-49.5720567633221
14081	Acsl1	1.33743338679079e-15	4.06416647951865e-13	5.40117927108246	2640.51924541324	-49.4094543859573
56619	Clec4e	1.01158271457081e-14	3.00078786686612e-12	6.86648706681401	1043.72050043154	-46.4903790381638
12021	Bard1	1.35960454943141e-14	3.93937513520138e-12	-Inf	33.843468834826	-46.0638062339587
236312	Pyhin1	4.5126698437503e-14	1.2778034905292e-11	4.57503939147753	3260.84554629315	-44.3330120965618
16765	Stmn1	1.60291413299244e-13	4.43793492954507e-11	-5.21964781103269	88.3669281601199	-42.5043680901543
64214	Rgs18	1.75558849394923e-13	4.75497327089423e-11	-4.98461397960738	115.100363252847	-42.3731105135552
14190	Fgl2	2.96378221577939e-13	7.8565452396586e-11	5.79592354005701	3204.85462628463	-41.6176257939077
17533	Mrc1	4.34806828757986e-13	1.12859547489495e-10	-4.10197839365878	618.941274688466	-41.0646906350796
20656	Sod2	7.72913385028669e-13	1.96525058450453e-10	4.3238594961358	3342.76899892057	-40.234758483022
246746	Cd300lf	9.17684367333678e-13	2.28668590652206e-10	4.5626792600556	1589.01785528935	-39.9870672018826
15959	Ifit3	1.00988858936341e-12	2.46709841860367e-10	4.41986190234434	2122.40104001302	-39.8489409946203
667373	Gm14446	1.1136662621391e-12	2.66830153076751e-10	5.96866087153923	153.319072243621	-39.7078201807403
12494	Cd38	1.17412989537663e-12	2.76009138990518e-10	4.83396605700777	482.084572944738	-39.6315451143152
16362	Irf1	1.32212840864487e-12	3.00428540979633e-10	4.31022319558393	3192.90293519394	-39.4602748365995
20723	Serpinb9	1.32623563318724e-12	3.00428540979633e-10	4.75244343916026	1001.637571549	-39.455800015815
22169	Cmpk2	1.45847480870613e-12	3.24484600744101e-10	5.98063182434077	3288.59315171139	-39.3186766709372
16181	Il1rn	1.93468758431848e-12	4.22881975667087e-10	4.23179136270227	1842.19368968965	-38.9110365216037
